id,title,text,topic,source
0_0,Argo (oceanography),"Argo is an international programme for researching the ocean. It uses profiling floats to observe temperature, salinity and currents. Recently it has observed bio-optical properties in the Earth's oceans",argo_float,Wikipedia
0_1,Argo (oceanography),It has been operating since the early 2000s. The real-time data it provides support climate and oceanographic research. A special research interest is to quantify the ocean heat content (OHC),argo_float,Wikipedia
0_2,Argo (oceanography),"The Argo fleet consists of almost 4000 drifting ""Argo floats"" (as profiling floats used by the Argo program are often called) deployed worldwide. Each float weighs 20–30 kg. In most cases probes drift at a depth of 1000 metres",argo_float,Wikipedia
0_3,Argo (oceanography),"Experts call this the parking depth. Every 10 days, by changing their buoyancy, they dive to a depth of 2000 metres and then move to the sea-surface. As they move they measure conductivity and temperature profiles as well as pressure",argo_float,Wikipedia
0_4,Argo (oceanography),"Scientists calculate salinity and density from these measurements. Seawater density is important in determining large-scale motions in the ocean.
Average current velocities at 1000 metres are directly measured by the distance and direction a float drifts while parked at that depth, which is determined by GPS or Argos system positions at the surface. The data is transmitted to shore via satellite, and is freely available to everyone, without restrictions.
The Argo program is named after the Greek mythical ship Argo to emphasize the complementary relationship of Argo with the Jason satellite altimeters",argo_float,Wikipedia
0_5,Argo (oceanography),"Both the standard Argo floats and the 4 satellites launched so far to monitor changing sea-level all operate on a 10-day duty cycle.


== International collaboration ==
The Argo program is a collaborative partnership of more than 30 nations from all continents (most shown on the graphic map in this article) that maintains a global array and provides a dataset anyone can use to explore the ocean environment. Argo is a component of the Global Ocean Observing System (GOOS), and is coordinated by the Argo Steering Team, an international body of scientists and technical experts that meets once per year.  The Argo data stream is managed by the Argo Data Management Team",argo_float,Wikipedia
0_6,Argo (oceanography),"Argo is also supported by the Group on Earth Observations, and has been endorsed since its beginnings by the World Climate Research Programme's CLIVAR Project (Variability and predictability of the ocean-atmosphere system), and by the Global Ocean Data Assimilation Experiment (GODAE OceanView).


== History ==

A program called Argo was first proposed at OceanObs 1999 which was a conference organised by international agencies with the aim of creating a coordinated approach to ocean observations.  The original Argo prospectus was created by a small group of scientists, chaired by Dean Roemmich, who described a program that would have a global array of about 3000 floats in place by sometime in 2007. The 3000-float array was achieved in November 2007 and was global",argo_float,Wikipedia
0_7,Argo (oceanography),"The Argo Steering Team met for the first time in 1999 in Maryland (USA) and outlined the principles of global data sharing.  
The Argo Steering Team made a 10-year report to OceanObs-2009  and received suggestions on how the array might be improved.  These suggestions included enhancing the array at high latitudes, in marginal seas (such as the Gulf of Mexico and the Mediterranean) and along the equator, improved observation of strong boundary currents (such as the Gulf Stream and Kuroshio), extension of observations into deep water and the addition of sensors for monitoring biological and chemical changes in the oceans",argo_float,Wikipedia
0_8,Argo (oceanography),"In November 2012 an Indian float in the Argo array gathered the one-millionth profile (twice the number collected by research vessels during all of the 20th century) an event that was reported in several press releases. As can be seen in the plot opposite, by early 2018 the Bio-Argo program is expanding rapidly.


== Float design and operation ==

The critical capability of an Argo float is its ability to rise and descend in the ocean on a programmed schedule. The floats do this by changing their effective density",argo_float,Wikipedia
0_9,Argo (oceanography),"The density of any object is given by its mass divided by its volume. The Argo float keeps its mass constant, but by altering its volume, it changes its density. To do this, mineral oil is forced out of the float's pressure case and expands a rubber bladder at the bottom end of the float",argo_float,Wikipedia
